draw_id,date,numbers,superbalota,jackpot,game
1,2017-04-22,"[25, 26, 35, 37, 38]",4,4300000000,Baloto
2,2017-04-24,"[1, 3, 13, 23, 27]",12,4386000000,Baloto
3,2017-04-26,"[4, 16, 30, 32, 43]",14,4472000000,Baloto
4,2017-04-29,"[8, 12, 22, 29, 43]",14,4558000000,Baloto
5,2017-05-01,"[4, 16, 21, 29, 43]",12,4644000000,Baloto
6,2017-05-03,"[12, 23, 31, 35, 40]",16,4730000000,Baloto
7,2017-05-06,"[7, 10, 13, 21, 34]",5,4816000000,Baloto
8,2017-05-08,"[10, 13, 34, 35, 41]",5,4902000000,Baloto
9,2017-05-10,"[5, 15, 28, 39, 41]",12,4988000000,Baloto
10,2017-05-13,"[9, 14, 24, 31, 38]",9,5074000000,Baloto
11,2017-05-15,"[9, 11, 18, 31, 38]",15,5160000000,Baloto
12,2017-05-17,"[6, 9, 21, 35, 38]",10,5246000000,Baloto
13,2017-05-20,"[2, 8, 33, 38, 42]",9,5332000000,Baloto
14,2017-05-22,"[8, 17, 18, 20, 32]",2,5418000000,Baloto
15,2017-05-24,"[2, 11, 16, 30, 43]",13,5504000000,Baloto
16,2017-05-27,"[7, 13, 23, 27, 33]",4,5590000000,Baloto
17,2017-05-29,"[4, 7, 8, 16, 26]",12,5676000000,Baloto
18,2017-05-31,"[12, 18, 24, 25, 30]",7,5762000000,Baloto
19,2017-06-03,"[3, 7, 13, 38, 40]",11,5847999999,Baloto
20,2017-06-05,"[13, 22, 35, 37, 40]",10,5934000000,Baloto
21,2017-06-07,"[4, 12, 25, 31, 41]",13,6020000000,Baloto
22,2017-06-10,"[17, 21, 27, 33, 42]",2,6106000000,Baloto
23,2017-06-12,"[7, 9, 18, 23, 33]",12,6192000000,Baloto
24,2017-06-14,"[7, 10, 16, 19, 32]",3,6278000000,Baloto
25,2017-06-17,"[5, 9, 12, 24, 29]",1,6364000000,Baloto
26,2017-06-19,"[1, 3, 7, 19, 42]",8,6450000000,Baloto
27,2017-06-21,"[10, 13, 16, 29, 39]",3,6536000000,Baloto
28,2017-06-24,"[3, 8, 13, 29, 39]",13,6622000000,Baloto
29,2017-06-26,"[9, 11, 13, 26, 42]",8,6708000000,Baloto
30,2017-06-28,"[6, 9, 12, 29, 41]",2,6794000000,Baloto
31,2017-07-01,"[1, 21, 26, 31, 41]",4,6880000000,Baloto
