draw_id,date,numbers,superbalota,jackpot,game
1,2021-05-01,"[1, 16, 34, 41, 43]",2,,Revancha
2,2021-05-05,"[3, 15, 17, 29, 32]",16,,Revancha
3,2021-05-08,"[5, 10, 24, 29, 41]",11,,Revancha
4,2021-05-12,"[4, 6, 8, 9, 16]",5,,Revancha
5,2021-05-15,"[17, 26, 31, 35, 38]",10,,Revancha
6,2021-05-19,"[13, 20, 29, 39, 40]",16,,Revancha
7,2021-05-22,"[2, 9, 13, 35, 39]",12,,Revancha
8,2021-05-26,"[5, 16, 31, 32, 33]",14,,Revancha
9,2021-05-29,"[1, 8, 18, 29, 40]",2,,Revancha
10,2021-06-02,"[3, 5, 22, 26, 35]",3,,Revancha
11,2021-06-05,"[1, 9, 10, 13, 27]",8,,Revancha
12,2021-06-09,"[6, 7, 26, 27, 41]",15,,Revancha
13,2021-06-12,"[18, 19, 25, 26, 43]",9,,Revancha
14,2021-06-16,"[2, 6, 28, 34, 38]",11,,Revancha
15,2021-06-19,"[5, 8, 14, 26, 33]",3,,Revancha
16,2021-06-23,"[15, 16, 17, 39, 41]",9,,Revancha
17,2021-06-26,"[4, 14, 31, 32, 43]",16,,Revancha
18,2021-06-30,"[23, 28, 35, 37, 38]",15,,Revancha
19,2021-07-03,"[1, 9, 13, 22, 29]",14,,Revancha
20,2021-07-07,"[5, 17, 21, 26, 31]",7,,Revancha
21,2021-07-10,"[3, 5, 25, 27, 36]",14,,Revancha
22,2021-07-14,"[20, 24, 27, 29, 36]",1,,Revancha
23,2021-07-17,"[15, 16, 24, 26, 40]",9,,Revancha
24,2021-07-21,"[3, 7, 23, 35, 36]",10,,Revancha
25,2021-07-24,"[3, 13, 16, 36, 40]",5,,Revancha
26,2021-07-28,"[8, 19, 28, 36, 40]",14,,Revancha
27,2021-07-31,"[2, 9, 17, 24, 25]",8,,Revancha
28,2021-08-04,"[1, 8, 19, 29, 40]",7,,Revancha
29,2021-08-07,"[1, 6, 21, 34, 40]",7,,Revancha
30,2021-08-11,"[3, 11, 22, 27, 39]",2,,Revancha
31,2021-08-14,"[15, 21, 31, 32, 33]",6,,Revancha
32,2021-08-18,"[6, 9, 19, 37, 39]",15,,Revancha
33,2021-08-21,"[8, 13, 22, 24, 30]",10,,Revancha
34,2021-08-25,"[3, 7, 9, 17, 39]",8,,Revancha
35,2021-08-28,"[3, 20, 27, 40, 43]",1,,Revancha
36,2021-09-01,"[7, 12, 20, 23, 32]",1,,Revancha
37,2021-09-04,"[8, 15, 30, 36, 41]",14,,Revancha
38,2021-09-08,"[11, 19, 28, 32, 36]",6,,Revancha
39,2021-09-11,"[7, 12, 27, 35, 41]",8,,Revancha
40,2021-09-15,"[4, 22, 28, 35, 37]",16,,Revancha
41,2021-09-18,"[12, 24, 34, 37, 40]",8,,Revancha
42,2021-09-22,"[8, 23, 27, 33, 42]",9,,Revancha
